previous_time,current_time,nrc,delta_enrolled
2024-05-30 13.04.04,2024-05-30 13.05.47,10007,1
2024-05-30 13.04.04,2024-05-30 13.05.47,10008,1
2024-05-30 13.04.04,2024-05-30 13.05.47,10071,3
2024-05-30 13.04.04,2024-05-30 13.05.47,10057,4
2024-05-30 13.04.04,2024-05-30 13.05.47,10058,1
2024-05-30 13.04.04,2024-05-30 13.05.47,12232,1
2024-05-30 13.04.04,2024-05-30 13.05.47,10030,3
2024-05-30 13.04.04,2024-05-30 13.05.47,12316,1
2024-05-30 13.04.04,2024-05-30 13.05.47,10266,1
2024-05-30 13.04.04,2024-05-30 13.05.47,12893,2
2024-05-30 13.04.04,2024-05-30 13.05.47,10037,2
2024-05-30 13.04.04,2024-05-30 13.05.47,10072,1
2024-05-30 13.04.04,2024-05-30 13.05.47,10063,3
2024-05-30 13.04.04,2024-05-30 13.05.47,10036,1
2024-05-30 13.09.10,2024-05-30 13.10.52,10012,1
2024-05-30 13.09.10,2024-05-30 13.10.52,10058,1
2024-05-30 13.09.10,2024-05-30 13.10.52,12316,3
2024-05-30 13.09.10,2024-05-30 13.10.52,12893,1
2024-05-30 13.14.17,2024-05-30 13.15.59,10024,1
2024-05-30 13.14.17,2024-05-30 13.15.59,10025,1
2024-05-30 13.14.17,2024-05-30 13.15.59,10030,1
2024-05-30 13.14.17,2024-05-30 13.15.59,12316,1
2024-05-30 13.14.17,2024-05-30 13.15.59,12893,1
2024-05-30 13.14.17,2024-05-30 13.15.59,11027,1
2024-05-30 13.14.17,2024-05-30 13.15.59,10063,2
2024-05-30 13.14.17,2024-05-30 13.15.59,10036,1
2024-05-30 13.19.22,2024-05-30 13.21.03,10026,1
2024-05-30 13.19.22,2024-05-30 13.21.03,12316,1
2024-05-30 13.19.22,2024-05-30 13.21.03,11027,1
2024-05-30 13.24.25,2024-05-30 13.26.07,12430,1
2024-05-30 13.24.25,2024-05-30 13.26.07,10264,2
2024-05-30 13.24.25,2024-05-30 13.26.07,10906,1
2024-05-30 13.24.25,2024-05-30 13.26.07,10037,1
2024-05-30 13.24.25,2024-05-30 13.26.07,10036,1
2024-05-30 13.27.49,2024-05-30 13.29.29,10012,1
2024-05-30 13.27.49,2024-05-30 13.29.29,10057,1
2024-05-30 13.27.49,2024-05-30 13.29.29,12430,1
2024-05-30 13.27.49,2024-05-30 13.29.29,10025,1
2024-05-30 13.27.49,2024-05-30 13.29.29,12893,2
2024-05-30 13.29.29,2024-05-30 13.31.11,10029,1
2024-05-30 13.29.29,2024-05-30 13.31.11,10072,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10041,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10007,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10012,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10071,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10057,-1
2024-05-30 13.34.36,2024-05-30 13.36.18,10058,1
2024-05-30 13.34.36,2024-05-30 13.36.18,12430,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10025,2
2024-05-30 13.34.36,2024-05-30 13.36.18,10026,3
2024-05-30 13.34.36,2024-05-30 13.36.18,10069,4
2024-05-30 13.34.36,2024-05-30 13.36.18,10073,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10030,6
2024-05-30 13.34.36,2024-05-30 13.36.18,10264,5
2024-05-30 13.34.36,2024-05-30 13.36.18,12316,1
2024-05-30 13.34.36,2024-05-30 13.36.18,12686,1
2024-05-30 13.34.36,2024-05-30 13.36.18,12893,2
2024-05-30 13.34.36,2024-05-30 13.36.18,10906,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10266,8
2024-05-30 13.34.36,2024-05-30 13.36.18,10037,5
2024-05-30 13.34.36,2024-05-30 13.36.18,10060,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10061,1
2024-05-30 13.34.36,2024-05-30 13.36.18,11027,4
2024-05-30 13.34.36,2024-05-30 13.36.18,10063,2
2024-05-30 13.34.36,2024-05-30 13.36.18,10064,1
2024-05-30 13.34.36,2024-05-30 13.36.18,10036,2
2024-05-30 13.39.40,2024-05-30 13.41.19,10076,1
2024-05-30 13.39.40,2024-05-30 13.41.19,10010,1
2024-05-30 13.39.40,2024-05-30 13.41.19,10071,2
2024-05-30 13.39.40,2024-05-30 13.41.19,10058,1
2024-05-30 13.39.40,2024-05-30 13.41.19,10025,1
2024-05-30 13.39.40,2024-05-30 13.41.19,10069,4
